Year,State_FIPS,State_Name,County_FIPS,County_Name,BA_Number,BA_Code
2018,23000.0,Maine,23003.0,Aroostook County,1.0,NBSO
2018,23000.0,Maine,23009.0,Hancock County,1.0,NBSO
2018,23000.0,Maine,23019.0,Penobscot County,1.0,NBSO
2018,23000.0,Maine,23021.0,Piscataquis County,1.0,NBSO
2018,23000.0,Maine,23027.0,Waldo County,1.0,NBSO
2018,23000.0,Maine,23029.0,Washington County,1.0,NBSO
2018,1000.0,Alabama,1001.0,Autauga County,189.0,AEC
2018,1000.0,Alabama,1003.0,Baldwin County,189.0,AEC
2018,1000.0,Alabama,1005.0,Barbour County,189.0,AEC
2018,1000.0,Alabama,1007.0,Bibb County,189.0,AEC
2018,1000.0,Alabama,1011.0,Bullock County,189.0,AEC
2018,1000.0,Alabama,1013.0,Butler County,189.0,AEC
2018,1000.0,Alabama,1015.0,Calhoun County,189.0,AEC
2018,1000.0,Alabama,1017.0,Chambers County,189.0,AEC
2018,1000.0,Alabama,1021.0,Chilton County,189.0,AEC
2018,1000.0,Alabama,1025.0,Clarke County,189.0,AEC
2018,1000.0,Alabama,1027.0,Clay County,189.0,AEC
2018,1000.0,Alabama,1029.0,Cleburne County,189.0,AEC
2018,1000.0,Alabama,1031.0,Coffee County,189.0,AEC
2018,1000.0,Alabama,1035.0,Conecuh County,189.0,AEC
2018,1000.0,Alabama,1037.0,Coosa County,189.0,AEC
2018,1000.0,Alabama,1039.0,Covington County,189.0,AEC
2018,1000.0,Alabama,1041.0,Crenshaw County,189.0,AEC
2018,1000.0,Alabama,1045.0,Dale County,189.0,AEC
2018,1000.0,Alabama,1047.0,Dallas County,189.0,AEC
2018,1000.0,Alabama,1051.0,Elmore County,189.0,AEC
2018,1000.0,Alabama,1053.0,Escambia County,189.0,AEC
2018,1000.0,Alabama,1055.0,Etowah County,189.0,AEC
2018,1000.0,Alabama,1061.0,Geneva County,189.0,AEC
2018,1000.0,Alabama,1067.0,Henry County,189.0,AEC
2018,1000.0,Alabama,1069.0,Houston County,189.0,AEC
2018,1000.0,Alabama,1081.0,Lee County,189.0,AEC
2018,1000.0,Alabama,1085.0,Lowndes County,189.0,AEC
2018,1000.0,Alabama,1087.0,Macon County,189.0,AEC
2018,1000.0,Alabama,1099.0,Monroe County,189.0,AEC
2018,1000.0,Alabama,1101.0,Montgomery County,189.0,AEC
2018,1000.0,Alabama,1105.0,Perry County,189.0,AEC
2018,1000.0,Alabama,1109.0,Pike County,189.0,AEC
2018,1000.0,Alabama,1111.0,Randolph County,189.0,AEC
2018,1000.0,Alabama,1113.0,Russell County,189.0,AEC
2018,1000.0,Alabama,1115.0,Shelby County,189.0,AEC
2018,1000.0,Alabama,1117.0,St. Clair County,189.0,AEC
2018,1000.0,Alabama,1121.0,Talladega County,189.0,AEC
2018,1000.0,Alabama,1123.0,Tallapoosa County,189.0,AEC
2018,1000.0,Alabama,1129.0,Washington County,189.0,AEC
2018,1000.0,Alabama,1131.0,Wilcox County,189.0,AEC
2018,12000.0,Florida,12005.0,Bay County,189.0,AEC
2018,12000.0,Florida,12013.0,Calhoun County,189.0,AEC
2018,12000.0,Florida,12033.0,Escambia County,189.0,AEC
