state_name,state_abbreviation,state_FIPS,county_name,county_FIPS
Alaska,AK,2000,Aleutians East Borough,02013
Alaska,AK,2000,Aleutians West Census Area,02016
Alaska,AK,2000,Anchorage Municipality,02020
Alaska,AK,2000,Bethel Census Area,02050
Alaska,AK,2000,Bristol Bay Borough,02060
Alaska,AK,2000,Denali Borough,02068
Alaska,AK,2000,Dillingham Census Area,02070
Alaska,AK,2000,Fairbanks North Star Borough,02090
Alaska,AK,2000,Haines Borough,02100
Alaska,AK,2000,Hoonah-Angoon Census Area,02105
Alaska,AK,2000,Juneau City and Borough,02110
Alaska,AK,2000,Kenai Peninsula Borough,02122
Alaska,AK,2000,Ketchikan Gateway Borough,02130
Alaska,AK,2000,Kodiak Island Borough,02150
Alaska,AK,2000,Lake and Peninsula Borough,02164
Alaska,AK,2000,Matanuska-Susitna Borough,02170
Alaska,AK,2000,Nome Census Area,02180
Alaska,AK,2000,North Slope Borough,02185
Alaska,AK,2000,Northwest Arctic Borough,02188
Alaska,AK,2000,Petersburg Census Area,02195
Alaska,AK,2000,Prince of Wales-Hyder Census Area,02201
Alaska,AK,2000,Sitka City and Borough,02220
Alaska,AK,2000,Skagway Municipality,02232
Alaska,AK,2000,Southeast Fairbanks Census Area,02240
Alaska,AK,2000,Valdez-Cordova Census Area,02261
Alaska,AK,2000,Wade Hampton Census Area,02270
Alaska,AK,2000,Wrangell City and Borough,02280
Alaska,AK,2000,Yakutat City and Borough,02282
Alaska,AK,2000,Yukon-Koyukuk Census Area,02290
Arizona,AZ,4000,Apache County,04001
Arizona,AZ,4000,Cochise County ,04003
Arizona,AZ,4000,Coconino County,04005
Arizona,AZ,4000,Gila County,04007
Arizona,AZ,4000,Graham County,04009
Arizona,AZ,4000,Greenlee County,04011
Arizona,AZ,4000,La Paz County,04012
Arizona,AZ,4000,Maricopa County,04013
Arizona,AZ,4000,Mohave County,04015
Arizona,AZ,4000,Navajo County,04017
Arizona,AZ,4000,Pima County,04019
Arizona,AZ,4000,Pinal County,04021
Arizona,AZ,4000,Santa Cruz County,04023
Arizona,AZ,4000,Yavapai County,04025
Arizona,AZ,4000,Yuma County,04027
Arkansas,AR,5000,Arkansas County,05001
Arkansas,AR,5000,Ashley County,05003
Arkansas,AR,5000,Baxter County,05005
Arkansas,AR,5000,Benton County,05007
Arkansas,AR,5000,Boone County,05009
Arkansas,AR,5000,Bradley County,05011
Arkansas,AR,5000,Calhoun County,05013
Arkansas,AR,5000,Carroll County,05015
Arkansas,AR,5000,Chicot County,05017
Arkansas,AR,5000,Clark County,05019
Arkansas,AR,5000,Clay County,05021
Arkansas,AR,5000,Cleburne County,05023
Arkansas,AR,5000,Cleveland County,05025
Arkansas,AR,5000,Columbia County,05027
Arkansas,AR,5000,Conway County,05029
Arkansas,AR,5000,Craighead County,05031
Arkansas,AR,5000,Crawford County,05033
Arkansas,AR,5000,Crittenden County,05035
Arkansas,AR,5000,Cross County,05037
Arkansas,AR,5000,Dallas County,05039
Arkansas,AR,5000,Desha County,05041
Arkansas,AR,5000,Drew County,05043
Arkansas,AR,5000,Faulkner County,05045
Arkansas,AR,5000,Franklin County,05047
Arkansas,AR,5000,Fulton County,05049
Arkansas,AR,5000,Garland County,05051
Arkansas,AR,5000,Grant County,05053
Arkansas,AR,5000,Greene County,05055
Arkansas,AR,5000,Hempstead County,05057
Arkansas,AR,5000,Hot Spring County,05059
Arkansas,AR,5000,Howard County,05061
Arkansas,AR,5000,Independence County,05063
Arkansas,AR,5000,Izard County,05065
Arkansas,AR,5000,Jackson County,05067
Arkansas,AR,5000,Jefferson County,05069
Arkansas,AR,5000,Johnson County,05071
Arkansas,AR,5000,Lafayette County,05073
Arkansas,AR,5000,Lawrence County,05075
Arkansas,AR,5000,Lee County,05077
Arkansas,AR,5000,Lincoln County,05079
Arkansas,AR,5000,Little River County,05081
Arkansas,AR,5000,Logan County,05083
Arkansas,AR,5000,Lonoke County,05085
Arkansas,AR,5000,Madison County,05087
Arkansas,AR,5000,Marion County,05089
Arkansas,AR,5000,Miller County,05091
Arkansas,AR,5000,Mississippi County,05093
