region,hidden_layer_sizes,max_iter,validation_fraction,score,error
NEVP,499.0,350.0,0.3,0.9460438114370244,0.0635071301110418
MISO,480.0,100.0,0.1,0.9203538410346568,0.0513675199874856
NYIS,492.0,100.0,0.1,0.9375461087184264,0.0281938241216873
TEC,409.0,250.0,0.3,0.9112219934497764,0.0532339368347578
PGE,465.0,300.0,0.1,0.9170523583232978,0.0242320927679756
CHPD,498.0,450.0,0.2,0.8305395085713843,0.0810346712720476
AVA,490.0,300.0,0.2,0.9233852342544908,0.0400312333965851
SWPP,378.0,100.0,0.3,0.92742455061229,0.0733046359596612
ISNE,441.0,150.0,0.2,0.9033069918751468,0.0455194602456113
TAL,487.0,500.0,0.3,0.8619837282809153,0.0639443760909648
SC,447.0,150.0,0.2,0.8698774038871016,0.1174249589832496
ERCO,463.0,100.0,0.3,0.9458476125189604,0.0548536655094779
SPA,409.0,350.0,0.1,0.6853562698342949,0.0259264176151914
IPCO,471.0,450.0,0.3,0.8695473120090039,0.1290278719386374
LGEE,479.0,350.0,0.1,0.911173509732646,0.0264988192142625
SEC,424.0,500.0,0.1,0.1690403472228735,0.6935376968854422
GVL,487.0,50.0,0.1,0.8910659830645441,0.0619578197728382
PACW,431.0,350.0,0.2,0.8323999793737361,0.0338636231966886
JEA,488.0,250.0,0.2,0.8801610664691963,0.0586967952952983
SRP,485.0,100.0,0.1,0.9485013006866924,0.0494819759300093
SOCO,495.0,50.0,0.3,0.928967484372514,0.0190038824084816
FPC,495.0,250.0,0.1,0.9160427786063003,0.0572070776098755
LDWP,445.0,50.0,0.1,0.8951825559641989,0.0653821326228421
EPE,481.0,100.0,0.1,0.9362554901209555,0.0395582070122408
SCL,468.0,500.0,0.3,0.8624161044098209,0.0981905280518149
BANC,473.0,250.0,0.1,0.91162700819043,0.0880014986291816
PJM,498.0,200.0,0.3,0.9313693503496704,0.0263978316144167
CISO,471.0,100.0,0.2,0.900005650024357,0.0931484830937712
WACM,477.0,450.0,0.3,0.7572116904935395,0.1311742438228709
GCPD,350.0,300.0,0.3,0.5601125640624969,0.5964609705305427
TPWR,483.0,50.0,0.3,0.8726744572942975,0.0973885428538083
NSB,396.0,450.0,0.3,0.8539244408367734,0.1106064559877452
IID,486.0,200.0,0.2,0.8796002281508425,0.2025727563072226
BPAT,499.0,400.0,0.1,0.8980847791637313,0.0287016788056113
FPL,456.0,250.0,0.1,0.9268081136087064,0.046726442370243
WALC,313.0,350.0,0.2,0.5691516251217733,0.2262919019406366
DUK,425.0,400.0,0.1,0.9102648760022938,0.0680820034130836
DOPD,358.0,350.0,0.1,0.8286113868351309,0.0969768328942329
AECI,433.0,100.0,0.1,0.8825442037496922,0.0683072382074124
AZPS,481.0,200.0,0.3,0.9496255947171096,0.056836361169964
TVA,487.0,50.0,0.3,0.9219208471158268,0.0234759840771695
PACE,494.0,300.0,0.2,0.8032834477877216,0.1455468135448561
HST,395.0,350.0,0.3,0.8922194793499278,0.1035404259899119
TEPC,356.0,300.0,0.1,0.6819449496746426,0.3908831898041554
AEC,474.0,400.0,0.2,0.9101895677795852,0.0260551979621531
FMPP,487.0,450.0,0.1,0.9139390955371172,0.0569198436439343
WAUW,489.0,100.0,0.3,0.7296243248384122,0.0530975656955622
CPLE,472.0,200.0,0.3,0.9043192288142567,0.04623771680041
PNM,465.0,500.0,0.1,0.9044796940090783,0.0761061712788952
SCEG,450.0,250.0,0.3,0.9247721416403192,0.0300405878775107
PSCO,497.0,300.0,0.2,0.9140151742477508,0.0406701927824971
TIDC,478.0,200.0,0.1,0.8802253191259748,0.1768094074931893
NWMT,458.0,350.0,0.3,0.865992005768738,0.0314846255591672
PSEI,492.0,400.0,0.1,0.8876660300519215,0.0613306075896745
